Wall time,Step,Value
1562252455.7945786,2970,-38.336238861083984
1562252460.2506492,5970,-37.688377380371094
1562252463.5087304,8970,-38.488792419433594
1562252468.0693927,11970,-37.412757873535156
1562252470.1219149,14970,-38.26226043701172
1562252474.7474842,17970,-36.74025344848633
1562252476.4901066,20970,-38.0742301940918
1562252480.8923337,23970,-37.78955841064453
1562252482.6080034,26970,-37.81343078613281
1562252486.982427,29970,-36.97715759277344
1562252488.8068163,32970,-37.50867462158203
1562252493.381617,35970,-36.87898635864258
1562252495.3105385,38970,-37.49538040161133
1562252499.9449537,41970,-36.07181167602539
1562252501.845978,44970,-38.33638381958008
1562252506.4591317,47970,-36.394081115722656
1562252508.502896,50970,-37.70171356201172
1562252513.3560376,53970,-36.92185974121094
1562252515.1777358,56970,-37.54962921142578
1562252519.5888858,59970,-36.75515365600586
1562252521.7317278,62970,-37.89231872558594
1562252526.2627826,65970,-36.39948654174805
1562252527.9813664,68970,-37.39937210083008
1562252532.3966954,71970,-36.48942947387695
1562252534.1772091,74970,-36.90256881713867
1562252538.610408,77970,-36.4021110534668
1562252540.4505131,80970,-37.55219650268555
1562252544.970777,83970,-36.95254898071289
1562252547.0035489,86970,-37.87976837158203
1562252551.571262,89970,-36.843971252441406
1562252553.4416335,92970,-37.050132751464844
1562252557.9343157,95970,-36.284847259521484
1562252559.7097712,98970,-37.56243896484375
1562252564.174329,101970,-36.95833969116211
1562252565.9114711,104970,-37.24806594848633
1562252570.3778162,107970,-36.654624938964844
1562252572.2354405,110970,-36.31238555908203
1562252576.708078,113970,-35.257869720458984
1562252578.525002,116970,-37.62578201293945
1562252583.0029829,119970,-36.83354568481445
1562252585.1040504,122970,-37.73222351074219
1562252589.5681145,125970,-37.35567092895508
1562252591.3342144,128970,-36.56327819824219
1562252595.7900956,131970,-35.94935607910156
1562252597.551728,134970,-37.573551177978516
1562252601.9388566,137970,-36.787330627441406
1562252603.7111795,140970,-36.24161148071289
1562252608.117064,143970,-34.603721618652344
1562252609.893392,146970,-37.953189849853516
1562252614.3371294,149970,-37.31174087524414
1562252616.0657642,152970,-37.31153106689453
1562252620.4712813,155970,-35.51496887207031
1562252622.2586648,158970,-36.92647171020508
1562252626.6703992,161970,-35.503353118896484
1562252628.4447768,164970,-37.74408721923828
1562252632.8818233,167970,-37.25045394897461
1562252634.6423492,170970,-37.6756591796875
1562252639.150248,173970,-36.63988494873047
1562252640.970578,176970,-37.78166580200195
1562252645.459119,179970,-37.718013763427734
1562252647.5486603,182970,-36.80771255493164
1562252652.0088787,185970,-36.303104400634766
1562252653.7960353,188970,-35.499141693115234
1562252658.264951,191970,-34.31721496582031
1562252660.058565,194970,-35.97245407104492
1562252664.557927,197970,-33.897865295410156
1562252666.3419464,200970,-37.33563232421875
1562252670.786916,203970,-36.61358642578125
1562252672.5728278,206970,-37.11149597167969
1562252677.0408995,209970,-36.86606216430664
1562252678.8198464,212970,-36.89774703979492
1562252683.3267236,215970,-36.56120681762695
1562252685.1138616,218970,-35.39332580566406
1562252689.586937,221970,-34.5700569152832
1562252691.3686585,224970,-36.40736389160156
1562252695.8422472,227970,-35.66703414916992
1562252697.6284804,230970,-36.240169525146484
1562252702.1290958,233970,-35.447669982910156
1562252703.924014,236970,-36.07548522949219
1562252708.4769912,239970,-35.31401824951172
1562252710.7160974,242970,-36.31028747558594
1562252715.3490472,245970,-35.750694274902344
1562252717.1483843,248970,-36.215511322021484
1562252721.7882357,251970,-35.66073226928711
1562252723.7090297,254970,-36.28854751586914
1562252728.3451254,257970,-35.603187561035156
1562252730.1399302,260970,-34.20235061645508
1562252734.6998355,263970,-31.886737823486328
1562252736.530127,266970,-36.004093170166016
1562252741.1650827,269970,-34.736106872558594
1562252743.0473518,272970,-35.97090148925781
1562252747.552637,275970,-34.80500411987305
1562252749.290885,278970,-36.881080627441406
1562252753.7379777,281970,-35.71058654785156
1562252755.4914174,284970,-35.98944854736328
1562252759.924687,287970,-34.0656852722168
1562252761.702191,290970,-36.82538986206055
1562252766.1286912,293970,-35.7535400390625
1562252767.858908,296970,-36.02834701538086
1562252772.3038414,299970,-34.2697639465332
1562252774.3734457,302970,-36.797359466552734
1562252778.8202467,305970,-35.388614654541016
1562252780.601057,308970,-36.63214874267578
1562252785.003823,311970,-35.28907012939453
1562252786.7664828,314970,-37.001827239990234
1562252791.2031717,317970,-35.20965576171875
1562252792.9491122,320970,-36.12680435180664
1562252797.4169803,323970,-33.82978057861328
1562252799.1665723,326970,-37.13478088378906
1562252803.5786748,329970,-35.91797637939453
1562252805.3414881,332970,-36.19029998779297
1562252809.792119,335970,-34.963016510009766
1562252811.6392472,338970,-35.532386779785156
1562252816.0737658,341970,-33.73467254638672
1562252817.818021,344970,-36.62646484375
1562252822.32111,347970,-35.1677131652832
1562252824.1965764,350970,-35.863319396972656
1562252828.8114636,353970,-33.881343841552734
1562252830.6718698,356970,-35.34858322143555
1562252835.124031,359970,-33.1303825378418
1562252837.2028644,362970,-35.74814987182617
1562252841.741056,365970,-34.05830383300781
