Wall time,Step,Value
1562280023.2650886,2970,-161.1295928955078
1562280028.1176767,5970,-161.20651245117188
1562280031.9555511,8970,-161.4123992919922
1562280036.718311,11970,-161.31918334960938
1562280038.7611613,14970,-159.37948608398438
1562280043.4869275,17970,-158.6576385498047
1562280045.5037322,20970,-160.59808349609375
1562280050.184939,23970,-160.7738494873047
1562280052.2021952,26970,-159.10379028320312
1562280056.892514,29970,-158.81600952148438
1562280058.906528,32970,-159.8051300048828
1562280063.6113853,35970,-158.47494506835938
1562280065.7043564,38970,-160.70692443847656
1562280070.445353,41970,-160.83885192871094
1562280072.5293338,44970,-160.4269561767578
1562280077.2353156,47970,-159.59756469726562
1562280079.391225,50970,-160.98388671875
1562280084.3948925,53970,-161.51695251464844
1562280086.7732337,56970,-158.98348999023438
1562280091.498527,59970,-158.54495239257812
1562280093.9520757,62970,-160.8183135986328
1562280098.6672955,65970,-160.10765075683594
1562280100.777837,68970,-159.82044982910156
1562280105.505203,71970,-158.97488403320312
1562280107.617174,74970,-160.61029052734375
1562280112.3369565,77970,-159.56918334960938
1562280114.452545,80970,-160.70257568359375
1562280119.1844988,83970,-160.3379364013672
1562280121.289846,86970,-158.86318969726562
1562280126.0033772,89970,-157.37449645996094
1562280128.115386,92970,-160.17266845703125
1562280132.8415277,95970,-158.02720642089844
1562280134.9033206,98970,-159.71502685546875
1562280139.7646034,101970,-158.61390686035156
1562280141.9558613,104970,-158.25064086914062
1562280146.7044172,107970,-156.58212280273438
1562280148.8043637,110970,-160.53604125976562
1562280153.5371246,113970,-159.3349151611328
1562280155.613613,116970,-160.89598083496094
1562280160.3203928,119970,-160.25164794921875
1562280162.7202795,122970,-160.55398559570312
1562280167.4254005,125970,-159.4925994873047
1562280169.5148332,128970,-160.39840698242188
1562280174.2463408,131970,-159.91151428222656
1562280176.3446743,134970,-158.55018615722656
1562280181.074563,137970,-157.0175018310547
1562280183.1705074,140970,-159.59927368164062
1562280187.9183376,143970,-158.31634521484375
1562280190.0051832,146970,-159.4306640625
1562280194.7390091,149970,-157.64488220214844
1562280196.8314047,152970,-159.70083618164062
1562280201.595235,155970,-157.93081665039062
1562280203.6772397,158970,-159.7081756591797
1562280208.5231256,161970,-159.41412353515625
1562280210.594027,164970,-159.85520935058594
1562280215.3738897,167970,-159.50953674316406
1562280217.4512708,170970,-159.59405517578125
1562280222.242327,173970,-159.42141723632812
1562280224.3522615,176970,-159.81773376464844
1562280229.146534,179970,-159.22731018066406
1562280231.5101697,182970,-160.45852661132812
1562280236.350683,185970,-159.2749481201172
1562280238.4163082,188970,-159.28176879882812
1562280243.2072375,191970,-158.38357543945312
1562280245.2979898,194970,-159.51014709472656
1562280250.0991635,197970,-157.5133819580078
1562280252.1757526,200970,-160.71505737304688
1562280256.9909859,203970,-159.27706909179688
1562280259.0948825,206970,-158.63052368164062
1562280263.9135065,209970,-156.9108123779297
1562280266.0152137,212970,-160.40802001953125
1562280270.8437552,215970,-159.59886169433594
1562280272.9318805,218970,-158.56015014648438
1562280277.7299516,221970,-156.95236206054688
1562280279.8381572,224970,-159.5583038330078
1562280284.6483374,227970,-159.08816528320312
1562280286.736772,230970,-160.40048217773438
1562280291.5611975,233970,-160.62237548828125
1562280293.661251,236970,-159.7496795654297
1562280298.4848857,239970,-156.76206970214844
1562280300.8877895,242970,-159.67965698242188
1562280305.6960618,245970,-159.0590057373047
1562280307.7989063,248970,-159.64291381835938
1562280312.617099,251970,-158.41786193847656
1562280314.6818297,254970,-159.39077758789062
1562280319.5054152,257970,-158.60992431640625
1562280321.5949843,260970,-159.2790985107422
1562280326.4176884,263970,-157.93704223632812
1562280328.5239496,266970,-159.87527465820312
1562280333.3248167,269970,-156.69522094726562
1562280335.441649,272970,-160.54515075683594
1562280340.2586317,275970,-159.62220764160156
1562280342.3347113,278970,-158.42901611328125
1562280347.1477091,281970,-155.80442810058594
1562280349.2242045,284970,-160.3434600830078
1562280354.0224357,287970,-156.81338500976562
1562280356.1150475,290970,-160.46751403808594
1562280360.915731,293970,-158.7701873779297
1562280363.0255644,296970,-159.6031951904297
1562280367.8670752,299970,-158.99053955078125
1562280370.2639422,302970,-159.12181091308594
1562280375.085118,305970,-157.74696350097656
1562280377.187155,308970,-160.41217041015625
1562280382.0120192,311970,-158.41165161132812
1562280384.2266598,314970,-159.5701446533203
1562280389.2395265,317970,-158.07273864746094
1562280391.2872062,320970,-159.24362182617188
1562280396.061309,323970,-157.3084259033203
1562280398.0538788,326970,-158.8549041748047
1562280402.7369118,329970,-155.58941650390625
1562280404.7145917,332970,-160.73497009277344
1562280409.418535,335970,-159.99920654296875
1562280411.41667,338970,-158.03524780273438
1562280416.1804745,341970,-156.71090698242188
1562280418.2444386,344970,-160.14627075195312
1562280423.0223825,347970,-158.73773193359375
1562280425.073764,350970,-159.63523864746094
1562280429.8641763,353970,-158.25904846191406
1562280431.8985977,356970,-158.77227783203125
1562280436.7527373,359970,-155.77305603027344
1562280439.2889533,362970,-161.4923858642578
1562280444.0962365,365970,-160.6152801513672
1562280446.1332765,368970,-160.45501708984375
1562280450.8663948,371970,-157.56304931640625
1562280452.9619896,374970,-158.68690490722656
1562280457.799533,377970,-156.57568359375
1562280459.8455317,380970,-158.7501983642578
1562280464.60376,383970,-156.95205688476562
1562280466.628873,386970,-157.92332458496094
1562280471.378199,389970,-154.12948608398438
1562280473.4068801,392970,-159.43557739257812
1562280478.134109,395970,-157.9161834716797
1562280480.2896602,398970,-159.16494750976562
1562280485.2287672,401970,-158.30213928222656
1562280487.4657183,404970,-159.05322265625
1562280492.2291484,407970,-155.52230834960938
1562280494.2489035,410970,-159.07345581054688
1562280499.0308583,413970,-155.5906219482422
1562280501.1977682,416970,-158.81907653808594
1562280506.0864851,419970,-157.99098205566406
1562280508.4159875,422970,-160.507080078125
1562280513.1825752,425970,-158.72767639160156
1562280515.242412,428970,-157.81460571289062
1562280520.1846833,431970,-152.48570251464844
1562280522.4169276,434970,-159.41949462890625
1562280527.2609618,437970,-158.18246459960938
1562280529.283415,440970,-159.67218017578125
1562280534.0481102,443970,-157.58712768554688
1562280536.087407,446970,-160.62661743164062
1562280540.8468637,449970,-158.16888427734375
1562280542.878486,452970,-160.67877197265625
1562280547.6216185,455970,-157.19931030273438
1562280549.7418382,458970,-160.77732849121094
1562280554.661283,461970,-156.2581024169922
1562280556.6916497,464970,-161.26992797851562
1562280561.4425097,467970,-161.8951873779297
1562280563.4934514,470970,-159.87576293945312
1562280568.2731643,473970,-159.3309783935547
1562280570.3259115,476970,-160.2919158935547
1562280575.1944976,479970,-158.1800079345703
1562280577.6745796,482970,-159.6840362548828
1562280582.5032213,485970,-154.4014434814453
1562280584.5707858,488970,-160.7954559326172
1562280589.332827,491970,-158.15895080566406
1562280591.383543,494970,-160.6695098876953
1562280596.1521902,497970,-157.54974365234375
1562280598.1779163,500970,-162.30690002441406
1562280602.9356384,503970,-161.7033233642578
1562280605.1071105,506970,-158.93765258789062
1562280609.9310775,509970,-154.02456665039062
1562280611.9597456,512970,-162.16543579101562
1562280616.724204,515970,-161.37139892578125
1562280618.758016,518970,-159.82847595214844
1562280623.5952828,521970,-155.45346069335938
1562280625.707224,524970,-162.66844177246094
1562280630.5789046,527970,-164.14105224609375
1562280632.6892114,530970,-162.6432342529297
1562280637.463115,533970,-161.37379455566406
1562280639.5081153,536970,-162.07521057128906
1562280644.2491217,539970,-159.5577850341797
1562280646.5634332,542970,-160.0308074951172
1562280651.3257682,545970,-156.13067626953125
1562280653.359059,548970,-160.83619689941406
1562280658.1321592,551970,-160.102294921875
1562280660.1534245,554970,-160.93519592285156
1562280664.9253778,557970,-158.703125
1562280666.9563544,560970,-161.6139678955078
1562280671.7273347,563970,-162.3904266357422
1562280673.75591,566970,-162.43331909179688
1562280678.526817,569970,-160.73837280273438
1562280680.588997,572970,-161.20993041992188
1562280685.4272265,575970,-161.80111694335938
1562280687.5742128,578970,-161.54678344726562
1562280692.3632245,581970,-162.53805541992188
1562280694.388839,584970,-161.58395385742188
1562280699.1372712,587970,-162.66551208496094
1562280701.161546,590970,-164.83277893066406
1562280705.9283955,593970,-168.3134002685547
1562280707.9548173,596970,-163.2177734375
1562280712.7290447,599970,-164.638427734375
1562280715.0557432,602970,-162.95680236816406
1562280719.907107,605970,-165.65658569335938
1562280721.9374611,608970,-160.19918823242188
1562280726.6834574,611970,-158.61831665039062
1562280728.701016,614970,-160.67706298828125
1562280733.451854,617970,-160.968017578125
1562280735.4727526,620970,-161.04730224609375
1562280740.288624,623970,-160.31053161621094
1562280742.382726,626970,-161.92474365234375
1562280747.3251655,629970,-161.69097900390625
1562280749.3595302,632970,-158.5029754638672
1562280754.1103156,635970,-153.57994079589844
1562280756.167149,638970,-163.91184997558594
1562280761.0417552,641970,-167.26487731933594
1562280763.1838856,644970,-163.38717651367188
1562280767.9586327,647970,-164.13792419433594
1562280769.9747295,650970,-160.80780029296875
1562280774.7228343,653970,-157.84014892578125
1562280776.7510788,656970,-160.73561096191406
1562280781.6166487,659970,-159.79989624023438
1562280784.0524967,662970,-163.19903564453125
1562280788.8350804,665970,-165.5360565185547
1562280790.8634987,668970,-161.7006378173828
1562280795.6143987,671970,-160.7508087158203
1562280797.63718,674970,-161.03985595703125
1562280802.3942595,677970,-161.8601837158203
1562280804.4284956,680970,-164.8019256591797
1562280809.22975,683970,-167.93313598632812
1562280811.4088988,686970,-160.09259033203125
1562280816.3137853,689970,-154.49253845214844
1562280818.467725,692970,-162.2674102783203
1562280823.2671316,695970,-165.46426391601562
1562280825.3564193,698970,-161.15570068359375
1562280830.1830819,701970,-161.5221710205078
1562280832.2662241,704970,-160.39163208007812
1562280837.049475,707970,-158.28733825683594
1562280839.0586126,710970,-164.57798767089844
1562280843.849469,713970,-166.84048461914062
1562280845.886972,716970,-162.22935485839844
1562280850.6243467,719970,-164.15869140625
1562280852.9500656,722970,-163.9285125732422
1562280857.7337291,725970,-166.99647521972656
1562280859.8601384,728970,-160.85374450683594
1562280864.6935315,731970,-157.8256072998047
1562280866.8421776,734970,-160.47213745117188
1562280871.6609397,737970,-156.86061096191406
1562280873.712677,740970,-162.8701171875
1562280878.5216663,743970,-162.92198181152344
1562280880.5829175,746970,-160.38157653808594
1562280885.3452792,749970,-160.43116760253906
1562280887.5860074,752970,-161.0932159423828
1562280892.4529085,755970,-158.89218139648438
1562280894.4908836,758970,-161.0017547607422
1562280899.2850437,761970,-160.6176300048828
1562280901.3244655,764970,-163.6204071044922
1562280906.2141843,767970,-165.9288787841797
1562280908.3766968,770970,-161.5668487548828
1562280913.3828142,773970,-162.84005737304688
1562280915.5311277,776970,-163.96038818359375
1562280920.2699783,779970,-164.6761016845703
1562280922.5345607,782970,-161.17247009277344
1562280927.425038,785970,-160.77328491210938
1562280929.8548357,788970,-161.54229736328125
1562280934.648789,791970,-161.01063537597656
1562280936.7180827,794970,-161.72604370117188
1562280941.5666146,797970,-157.24932861328125
1562280943.7040868,800970,-158.45523071289062
