Wall time,Step,Value
1562278711.2179334,2970,-160.0617218017578
1562278715.817843,5970,-159.44482421875
1562278719.4004884,8970,-162.12612915039062
1562278724.0677757,11970,-162.67819213867188
1562278726.0408947,14970,-160.00155639648438
1562278730.6722531,17970,-160.90966796875
1562278732.6956656,20970,-161.7090301513672
1562278737.3630521,23970,-162.06419372558594
1562278739.4417372,26970,-162.44154357910156
1562278744.1997523,29970,-162.23757934570312
1562278746.4467976,32970,-157.1974334716797
1562278751.387029,35970,-153.2710418701172
1562278753.4107924,38970,-161.63961791992188
1562278758.0497649,41970,-161.45079040527344
1562278760.0414212,44970,-161.91273498535156
1562278764.701009,47970,-162.94166564941406
1562278766.7148592,50970,-158.69163513183594
1562278771.3736708,53970,-155.59014892578125
1562278773.3525798,56970,-164.23475646972656
1562278778.0199795,59970,-167.49002075195312
1562278780.628035,62970,-156.65377807617188
1562278785.2492757,65970,-152.1929473876953
1562278787.248268,68970,-158.2211456298828
1562278791.8163774,71970,-156.44296264648438
1562278793.7774053,74970,-159.90013122558594
1562278798.3695807,77970,-158.77017211914062
1562278800.336899,80970,-158.99742126464844
1562278804.975417,83970,-157.7021026611328
1562278807.0557692,86970,-164.7169647216797
1562278811.7976756,89970,-167.82138061523438
1562278813.8306568,92970,-158.8200225830078
1562278818.4791446,95970,-155.87771606445312
1562278820.5060654,98970,-160.23556518554688
1562278825.1225228,101970,-157.7721405029297
1562278827.118455,104970,-156.06170654296875
1562278831.7275178,107970,-152.60235595703125
1562278833.7913816,110970,-159.65145874023438
1562278838.398341,113970,-157.0002899169922
1562278840.394797,116970,-157.155517578125
1562278845.019643,119970,-153.71002197265625
1562278847.3245242,122970,-163.1650390625
1562278851.9970207,125970,-167.11062622070312
1562278854.0280464,128970,-157.32371520996094
1562278858.6893432,131970,-155.14112854003906
1562278860.8282344,134970,-160.55706787109375
1562278865.5490942,137970,-157.43540954589844
1562278867.539482,140970,-157.1731719970703
1562278872.2726977,143970,-153.4868621826172
1562278874.2885802,146970,-160.8828582763672
1562278878.8680604,149970,-162.03228759765625
1562278880.9591572,152970,-159.8819122314453
1562278885.5856044,155970,-157.27651977539062
1562278887.577023,158970,-157.6615447998047
1562278892.1490092,161970,-155.45437622070312
1562278894.1128728,164970,-163.04623413085938
1562278898.7017882,167970,-162.24693298339844
1562278900.7108042,170970,-158.06150817871094
1562278905.4485927,173970,-154.6013641357422
1562278907.4606004,176970,-159.04664611816406
1562278912.1684377,179970,-158.07359313964844
1562278914.5897856,182970,-162.62734985351562
1562278919.2568266,185970,-161.82955932617188
1562278921.286828,188970,-155.56504821777344
1562278926.0445364,191970,-153.11814880371094
1562278928.0708907,194970,-157.95016479492188
1562278932.7400434,197970,-156.61373901367188
1562278934.936545,200970,-156.2198944091797
1562278939.7444732,203970,-153.42837524414062
1562278941.9562726,206970,-159.92796325683594
1562278946.6410835,209970,-160.07528686523438
1562278948.7042663,212970,-161.43795776367188
1562278953.3772862,215970,-162.15357971191406
1562278955.378375,218970,-162.94577026367188
1562278960.062475,221970,-166.50701904296875
1562278962.1220114,224970,-155.82774353027344
1562278966.8861668,227970,-152.10525512695312
1562278968.9605854,230970,-158.1618194580078
1562278973.7332578,233970,-156.62973022460938
1562278975.7570012,236970,-160.48239135742188
1562278980.4679046,239970,-160.99795532226562
1562278982.8223777,242970,-163.6310577392578
1562278987.50294,245970,-163.7043914794922
1562278989.5440466,248970,-156.93020629882812
1562278994.3370466,251970,-154.4453125
1562278996.523231,254970,-155.48033142089844
1562279001.26785,257970,-152.49664306640625
1562279003.242247,260970,-159.58551025390625
1562279007.915006,263970,-158.0333709716797
1562279010.005543,266970,-159.5923309326172
1562279014.7289643,269970,-156.60911560058594
1562279016.8598607,272970,-164.34388732910156
1562279021.6199613,275970,-166.86241149902344
1562279023.677296,278970,-162.36854553222656
1562279028.3765216,281970,-162.01133728027344
1562279030.4575138,284970,-164.1437530517578
1562279035.2378945,287970,-164.86111450195312
1562279037.2678359,290970,-162.5854949951172
1562279041.9652185,293970,-161.18408203125
1562279044.0085387,296970,-155.7448272705078
1562279048.7250943,299970,-153.53277587890625
1562279051.0789242,302970,-158.58189392089844
1562279055.727956,305970,-156.9308624267578
1562279057.705606,308970,-157.79017639160156
1562279062.3414197,311970,-156.14442443847656
1562279064.3447351,314970,-159.51132202148438
1562279069.1359856,317970,-159.14894104003906
1562279071.1657486,320970,-158.19781494140625
1562279075.9251428,323970,-157.508544921875
1562279077.9296784,326970,-160.191162109375
1562279082.6177208,329970,-158.72329711914062
1562279084.6215549,332970,-154.6283721923828
1562279089.316051,335970,-154.73826599121094
1562279091.4218607,338970,-159.29771423339844
1562279096.186608,341970,-157.95077514648438
1562279098.214383,344970,-161.62742614746094
1562279102.878252,347970,-159.58917236328125
1562279104.9145617,350970,-160.68479919433594
1562279109.7638762,353970,-159.291015625
1562279111.819954,356970,-157.50914001464844
1562279116.555038,359970,-155.67724609375
1562279118.9065797,362970,-158.67236328125
1562279123.5973072,365970,-154.78915405273438
1562279125.6500404,368970,-157.78759765625
1562279130.344968,371970,-154.86279296875
1562279132.3124306,374970,-160.16351318359375
1562279136.9126663,377970,-158.29476928710938
1562279138.8752487,380970,-153.88790893554688
1562279143.472532,383970,-151.7822723388672
1562279145.4553611,386970,-159.96974182128906
1562279150.083866,389970,-157.90269470214844
1562279152.1358678,392970,-153.5809783935547
1562279156.8123581,395970,-151.41065979003906
1562279158.7646859,398970,-154.3141326904297
1562279163.4079719,401970,-151.63099670410156
1562279165.4408243,404970,-160.29078674316406
1562279170.2302318,407970,-157.88821411132812
1562279172.2112327,410970,-155.05645751953125
1562279176.8364038,413970,-153.84823608398438
1562279178.8045986,416970,-155.82034301757812
1562279183.433912,419970,-154.01858520507812
1562279185.7151074,422970,-155.81881713867188
1562279190.3590407,425970,-153.47303771972656
1562279192.3641753,428970,-156.37359619140625
1562279197.0210872,431970,-152.5056610107422
1562279198.9789915,434970,-160.3448944091797
1562279203.6455412,437970,-158.17572021484375
1562279205.7483575,440970,-158.33949279785156
1562279210.5531564,443970,-156.72079467773438
1562279212.6558135,446970,-158.2212677001953
1562279217.3668125,449970,-155.97720336914062
1562279219.4779277,452970,-159.02406311035156
1562279224.179142,455970,-154.86866760253906
1562279226.2124753,458970,-160.48231506347656
1562279230.8956277,461970,-159.97140502929688
1562279232.9602215,464970,-161.15286254882812
1562279237.745357,467970,-158.74713134765625
1562279239.9176779,470970,-161.2898406982422
1562279244.6611996,473970,-160.33285522460938
1562279246.7704358,476970,-156.78086853027344
1562279251.5126173,479970,-156.1483917236328
1562279253.8855557,482970,-159.79742431640625
1562279258.5202796,485970,-160.70240783691406
1562279260.5065138,488970,-158.9026641845703
1562279265.1489673,491970,-159.9326629638672
1562279267.160386,494970,-156.85182189941406
1562279271.8071125,497970,-155.26730346679688
1562279273.7839322,500970,-163.24917602539062
1562279278.4230282,503970,-165.53878784179688
1562279280.4079773,506970,-161.16517639160156
1562279285.0958865,509970,-162.59632873535156
1562279287.1534102,512970,-159.52069091796875
1562279291.817001,515970,-157.99588012695312
1562279293.7676444,518970,-163.71755981445312
1562279298.3926544,521970,-163.41224670410156
1562279300.355493,524970,-165.24761962890625
1562279304.9840667,527970,-164.0226287841797
1562279306.941055,530970,-156.18658447265625
1562279311.585881,533970,-153.70411682128906
1562279313.585712,536970,-158.86729431152344
1562279318.2365255,539970,-157.84756469726562
1562279320.5126445,542970,-162.3986358642578
1562279325.177379,545970,-166.71995544433594
1562279327.1715667,548970,-164.6713104248047
1562279331.826715,551970,-165.80718994140625
1562279333.8072684,554970,-159.75552368164062
