Wall time,Step,Value
1562271796.7717874,2970,-68.06702423095703
1562271801.3506758,5970,-68.2183837890625
1562271805.2108698,8970,-67.16218566894531
1562271809.94021,11970,-67.30974578857422
1562271812.0196679,14970,-67.54579162597656
1562271816.7367496,17970,-67.81172943115234
1562271818.7904208,20970,-67.75083923339844
1562271823.5144997,23970,-67.85160827636719
1562271825.5174031,26970,-67.50277709960938
1562271830.1441011,29970,-67.7761459350586
1562271832.1569395,32970,-67.93852233886719
1562271836.7694902,35970,-68.34815979003906
1562271838.7800617,38970,-67.75438690185547
1562271843.4554403,41970,-68.65921783447266
1562271845.6003442,44970,-68.01554107666016
1562271850.338231,47970,-68.25676727294922
1562271852.419721,50970,-68.18834686279297
1562271857.0025718,53970,-68.47747039794922
1562271858.9923267,56970,-68.48274230957031
1562271863.6196647,59970,-68.4796371459961
1562271865.9314322,62970,-68.1779556274414
1562271870.4582956,65970,-68.16578674316406
1562271872.438012,68970,-68.40506744384766
1562271876.9984858,71970,-68.71424102783203
1562271878.9688427,74970,-67.34553527832031
1562271883.5172982,77970,-68.28231048583984
1562271885.4680448,80970,-68.2767105102539
1562271890.0034208,83970,-68.47636413574219
1562271891.9409862,86970,-67.748291015625
1562271896.4163744,89970,-68.02244567871094
1562271898.3519747,92970,-68.55912017822266
1562271902.8463006,95970,-68.67684936523438
1562271904.777142,98970,-67.965576171875
1562271909.298675,101970,-68.65169525146484
1562271911.258877,104970,-67.96997833251953
1562271915.7859945,107970,-68.26870727539062
1562271917.735582,110970,-68.0598373413086
1562271922.292979,113970,-68.50462341308594
1562271924.2786434,116970,-68.83654022216797
1562271928.8977,119970,-69.6613540649414
1562271931.152473,122970,-67.95825958251953
1562271935.657214,125970,-68.11155700683594
1562271937.7879882,128970,-68.6934585571289
1562271942.4878917,131970,-69.1764907836914
1562271944.8456771,134970,-68.01615142822266
1562271949.5494735,137970,-69.1163330078125
1562271951.5720196,140970,-68.10370635986328
1562271956.2003496,143970,-68.20848846435547
1562271958.2682097,146970,-68.55374145507812
1562271962.9372103,149970,-68.66401672363281
1562271964.9296865,152970,-68.0948486328125
1562271969.5400698,155970,-68.14200592041016
1562271971.546762,158970,-67.42768096923828
1562271976.2823563,161970,-67.70738983154297
1562271978.3424473,164970,-67.2458267211914
1562271983.14002,167970,-67.33915710449219
1562271985.2728798,170970,-68.33023834228516
1562271990.0385258,173970,-68.66544342041016
1562271992.103967,176970,-67.68386840820312
1562271996.8092399,179970,-68.0028305053711
1562271999.3265173,182970,-67.96408081054688
1562272004.1781306,185970,-68.19934844970703
1562272006.2371962,188970,-68.15562438964844
1562272010.9408138,191970,-68.78334045410156
1562272012.9932554,194970,-67.48279571533203
1562272017.6957197,197970,-67.59300231933594
1562272019.7448254,200970,-67.33745574951172
1562272024.4476159,203970,-67.83647155761719
1562272026.5243711,206970,-68.54319763183594
1562272031.2518437,209970,-71.2109603881836
1562272033.3009624,212970,-68.127197265625
1562272038.0683844,215970,-69.41419219970703
1562272040.2081673,218970,-67.58211517333984
1562272044.912981,221970,-68.15754699707031
1562272047.0155911,224970,-68.45347595214844
1562272051.7360206,227970,-69.31959533691406
1562272053.8057735,230970,-68.63719940185547
1562272058.5037766,233970,-68.95555877685547
1562272060.571734,236970,-67.60893249511719
1562272065.3148947,239970,-70.242919921875
1562272067.6734269,242970,-67.46073150634766
1562272072.413588,245970,-68.01128387451172
1562272074.547203,248970,-67.97085571289062
1562272079.3279397,251970,-68.60224914550781
1562272081.4095857,254970,-67.4488754272461
1562272086.1690373,257970,-68.70710754394531
1562272088.230086,260970,-68.1054458618164
1562272092.9540544,263970,-68.36935424804688
1562272095.0938883,266970,-67.40105438232422
1562272099.8481987,269970,-68.2994155883789
1562272101.9160206,272970,-68.14671325683594
1562272106.6203237,275970,-68.63876342773438
1562272108.7006507,278970,-67.56051635742188
1562272113.4391978,281970,-68.1907958984375
1562272115.5299375,284970,-67.88284301757812
1562272120.2697878,287970,-68.00582122802734
1562272122.35625,290970,-68.0953140258789
1562272127.1058502,293970,-69.87870025634766
1562272129.1726446,296970,-68.11177825927734
1562272133.8847203,299970,-68.06177520751953
1562272136.2535,302970,-67.5102767944336
1562272140.9528835,305970,-69.92131805419922
1562272143.02339,308970,-67.34416198730469
1562272147.7332253,311970,-67.60136413574219
1562272149.8179345,314970,-67.54383087158203
1562272154.5937548,317970,-67.92913055419922
1562272156.6662052,320970,-66.58919525146484
1562272161.3771484,323970,-67.4277114868164
1562272163.4639454,326970,-66.92858123779297
1562272168.1870415,329970,-69.08439636230469
1562272170.2518005,332970,-67.71817016601562
1562272174.9690256,335970,-69.60099792480469
1562272177.0065844,338970,-67.2232894897461
1562272181.7125535,341970,-69.65090942382812
1562272183.8013153,344970,-67.61196899414062
1562272188.5427322,347970,-68.45056915283203
1562272190.6073112,350970,-67.20771789550781
1562272195.3525057,353970,-69.56355285644531
1562272197.4319603,356970,-66.51797485351562
1562272202.182021,359970,-69.0669174194336
1562272204.5639958,362970,-66.44511413574219
1562272209.3141127,365970,-68.47816467285156
1562272211.3943837,368970,-67.3198013305664
1562272216.145071,371970,-69.92662811279297
1562272218.2013698,374970,-66.18215942382812
1562272222.9202273,377970,-69.57805633544922
1562272224.9841697,380970,-67.2917251586914
1562272229.7026937,383970,-70.1399154663086
1562272231.7641463,386970,-66.74118041992188
1562272236.4902878,389970,-68.3743667602539
1562272238.543097,392970,-65.84615325927734
1562272243.2585816,395970,-67.95549011230469
1562272245.361683,398970,-67.20005798339844
1562272250.1028726,401970,-68.25562286376953
1562272252.162742,404970,-66.2537841796875
1562272256.8911085,407970,-69.29457092285156
1562272258.9809117,410970,-65.2103042602539
1562272263.7330618,413970,-67.62001037597656
1562272265.8142705,416970,-66.32293701171875
1562272270.5816014,419970,-69.1162338256836
1562272272.9304988,422970,-66.2880630493164
1562272277.6626549,425970,-69.3675765991211
1562272279.7212527,428970,-66.012939453125
1562272284.4483175,431970,-67.50611114501953
1562272286.4990442,434970,-65.40980529785156
1562272291.2180383,437970,-67.0674819946289
1562272293.29217,440970,-68.06155395507812
1562272298.0261602,443970,-70.25953674316406
1562272300.088387,446970,-66.8089828491211
1562272304.8139632,449970,-68.76363372802734
1562272306.875829,452970,-66.81901550292969
1562272311.5984054,455970,-68.78398895263672
1562272313.6850228,458970,-66.30633544921875
1562272318.423973,461970,-68.20964050292969
1562272320.5172188,464970,-66.31945037841797
1562272325.2772665,467970,-67.50321197509766
1562272327.327193,470970,-65.14946746826172
1562272332.018544,473970,-66.01056671142578
1562272333.986166,476970,-66.72615051269531
1562272338.6716444,479970,-67.93342590332031
1562272340.904712,482970,-67.93936157226562
1562272345.4353702,485970,-70.91390228271484
1562272347.3558657,488970,-65.99571228027344
1562272351.872964,491970,-67.99419403076172
1562272353.8241034,494970,-65.70050811767578
1562272358.4021735,497970,-66.61467742919922
1562272360.3864987,500970,-66.67707824707031
1562272364.9542582,503970,-69.81969451904297
1562272366.9096873,506970,-66.39291381835938
1562272371.471803,509970,-68.19581604003906
